index,day_date,revenue,fb_adv,fb_awareness,fb_consideration,fb_intent,fb_loyalty,ga_brand,ga_other,ga_nonbrand,ga_shoppmax,tiktok_cost,influencer_cost,other_cost,sale_status,mb_status,email_sms_campaign,organic_impressions,solidcolor_launch,print_launch,product_launch
558,7/12/22,175945.19,8750.37,16964.23,9685,2564.15,250.51,4865.54,4810.94,1583.37,6696.45,2196.25,600,1355.01,1,0,1123982,39131,0,0,0
559,7/13/22,140238.77,8581.36,18219.43,9341.83,2497.27,247.29,4763.46,4835.08,1410.6,6538.22,2199.53,800,1277.55,0,0,136353,35558,0,0,0
560,7/14/22,145472.83,8923.77,18657.39,9362.07,2493.86,243.24,3753.18,4555.85,1631.58,6047.44,2134.17,12250,1351.72,0,0,837830,39412,0,0,0
561,7/15/22,380919.52,8922.94,19065,9407.89,2449.27,244.46,4103.39,4506.6,1398.39,6411.04,1950.56,16750,1381.68,0,1,1268479,34335,0,0,0
562,7/16/22,143217.08,8996.88,19486.44,9419.75,2119.12,241.09,3438,4157.03,1692.91,7073.35,1949.5,5100,1292.57,0,0,0,41667,0,0,0
563,7/17/22,170614.96,9471.34,20517.75,10189.67,1583.68,264.11,3672.76,4248.52,2189.89,7621.21,1947.6,0,1356.57,0,0,986295,37721,0,0,0
564,7/18/22,119756.8,7465.39,19067.81,7912.32,2388.52,251.52,3638.53,4366.48,2031.06,6917.71,2170.59,3150,1421.18,0,0,59,36563,0,0,0
565,7/19/22,118094.22,6773.87,18304.05,7395.76,2776.42,251.5,3302.87,4436.19,1995.65,6589.36,2198.61,0,1216.1,0,0,122470,39327,0,0,0
566,7/20/22,105192.68,6868.83,12750.28,5690.86,2708.13,247.19,3420.14,4486.78,1831.5,6828.08,2195.47,15000,1124.43,0,0,836259,30693,0,0,0
567,7/21/22,371030.72,6860.87,12432.11,5567.9,2715.68,246.49,4676.23,4308.72,1586.1,5509.14,2198.42,19057.783,1602.63,0,0,0,32567,0,3,0
568,7/22/22,217822.86,6672.46,12240.27,5544.4,2721.71,247.07,4257.81,4100.6,1355.82,5666.8,2199.24,18900,1263.55,0,0,690258,30787,0,2,0
569,7/23/22,150079.13,7067.83,12643.08,5574.99,2672.93,242.12,4083.79,4043.17,1331.98,6236.83,2198.16,0,1173.97,0,0,0,29563,0,1,0
570,7/24/22,184591.59,7339.61,13203.44,5987.04,2693,263.07,4468.66,4106.52,1980.64,6795.24,2199.28,7000,1295.62,0,0,983061,29986,0,0,0
571,7/25/22,158882.2,7187.57,12896.45,5796.19,2576.41,257.47,3924.94,4421.64,1599.69,6212.23,2195.24,7700,1237.07,0,0,238718,29455,0,0,0
572,7/26/22,154823.25,7585.82,13167.31,5721.78,2545.03,251.65,3993.75,4440.67,1589.76,5375.85,2196.89,10500,1249.67,0,0,1044651,27824,0,0,0
573,7/27/22,184337.21,8048.96,14867.33,5616.95,2514.72,247.73,4052.76,4375.64,1356.31,4900.81,2196.9,0,1190.59,0,0,897684,27305,0,0,0
574,7/28/22,126021.34,8028.72,14770.73,5590.65,2504.31,245.63,3507.92,4152.43,1178.98,5556.41,2195.03,7000,1135.15,0,0,132266,25786,0,0,0
575,7/29/22,156914.61,8020.73,14821.5,6217.53,2522.33,244.63,3056.88,4137.41,1046.08,5428.94,2194.55,10200,1237.55,0,0,1035599,26047,0,0,0
576,7/30/22,172933.74,8075.92,14925.16,6534.86,2494.2,239.82,3335.63,4142.45,1186.46,6911.74,2196.45,4114.887,1127.79,0,0,0,28351,0,0,0
577,7/31/22,156571,8466.05,15787.39,7083.93,2702.19,265.3,3290.69,3417.31,1444.34,9365.31,2197.38,0,1229.23,0,0,0,27355,0,0,0
578,8/1/22,157111.6,8275.21,17585.51,7181.38,2648.53,260.54,3477.9,2669.81,1275.44,7504.25,2195.57,47750,1399.68,0,0,218448,29410,0,0,0
579,8/2/22,148749.75,8091.95,19217.31,7491.76,2586.67,253.82,3283.2,2776.77,1325.29,8550.17,2197.22,8500,1188.09,0,0,908106,28628,0,0,0
580,8/3/22,140574.02,7875.33,18434.4,7319.06,2509.02,246.11,3208.9,2559.61,1355.25,8509.59,2190.23,0,1142.63,0,0,1011566,27936,0,0,0
581,8/4/22,126929.61,7782.08,18639.26,7242.55,2511.14,244.02,2855.59,2554.58,1182.86,6828.97,2198.07,0,1130.31,0,0,250,27286,0,0,0
582,8/5/22,146515.43,7781.22,18666.7,7221.7,2481.43,243.93,2786.06,2553.62,1090.4,5556.82,2197.02,0,1136.85,0,0,1052895,26985,0,0,0
583,8/6/22,123621.57,7727.25,18511.09,7094.44,2410.45,236.28,2815.77,2460.54,1458.04,7209.6,2197.59,0,1181.84,0,0,42728,27868,0,0,0
584,8/7/22,152911.66,8501.97,17311.82,7863.34,2716.84,266.52,3123.5,2608.44,1819.75,8601.8,2199.88,0,1153.49,0,0,1172414,31227,0,0,0
585,8/8/22,161961.3,8289.53,14112.97,7690.53,2628.12,261.63,2775.25,2853.07,1530.86,5421.2,2198.62,4750,1234.51,0,0,60,36066,3,0,0
586,8/9/22,188594.61,8059.59,17983.07,12459.1,2562.14,253.53,2756.66,2698.57,1423.3,5837.61,2195.19,9300,1216.47,0,0,1767575,35116,2,0,0
587,8/10/22,150651.39,7944.46,21278.01,17329.56,2552.86,248.59,2499.55,2551.15,1037.99,6357.06,2196.48,8500,1155.44,0,0,1097189,32463,1,0,0
588,8/11/22,104637.68,7866.3,19055.3,16494.48,2480.28,243.81,2832.72,2507.45,1102.65,6539.99,2194.95,6100,1056.98,0,0,0,33558,0,0,0
589,8/12/22,218120.02,4986.77,15865.94,13302.9,2478.99,242.21,2700.85,2750.71,1160.1,5608.68,2197.08,4000,1043.37,0,1,1005194,33361,0,0,0
590,8/13/22,117612.08,3873.15,14069.98,11815.58,2429.26,233.71,2519.23,2572.89,1177.01,5836.26,2200,1000,1049.22,0,0,0,35854,0,0,0
591,8/14/22,129003.54,3970.32,14349.56,11440.85,2685.12,264.5,2740.82,2082.55,1600.55,6385.67,2198.64,3500,1088.77,0,0,1160257,34086,0,0,0
592,8/15/22,96862.73,3115.74,13131.37,8818.4,2644.04,259.63,2556.91,1307.18,1320.3,6596.03,2195.85,6500,1008.31,0,0,60,33385,0,0,0
593,8/16/22,258962.48,3093.9,13003.65,8780.18,2625.51,257.67,4135.7,1399.6,1430.7,5769.86,2199.68,13000,1078.14,0,0,1771766,40863,0,0,3
594,8/17/22,124541.21,2275.1,11805.16,7876.76,2521.79,247.45,2459.9,1145.49,1279.19,5618.76,1688.96,3500,951.12,0,0,187,32540,0,0,2
595,8/18/22,140849.83,1006.78,9570.79,6172.83,2488.68,243.1,2608.63,1009.5,1071.74,6015.61,1682.45,29300,796.38,0,0,304729,32985,0,0,1
596,8/19/22,120844.68,1004.61,9537.91,6138.82,2450.83,241.07,2582.37,939.77,1182.01,5240.96,1688.6,8000,57.49,0,0,763037,32524,0,0,0
597,8/20/22,118490.82,1002.4,9542.56,6080.02,2434.03,236.58,2626.4,804.5,1182.32,5724.02,1684.85,6600,63.59,0,0,115883,33010,0,0,0
598,8/21/22,109812.71,1044.11,10173.79,6542.58,2664.73,268.89,2504.06,867.42,1515.12,6643.76,1689.17,2000,39.79,0,0,1048126,34700,0,0,0
599,8/22/22,157171.34,1028.22,9945.54,6434.72,2572.3,257.98,2246.87,1064.77,1284.33,4803.23,1658.35,2400,61.85,0,0,60,33271,0,0,3
600,8/23/22,156109.3,1009.36,10257.78,6298.22,2555.99,253.72,2640.68,1134.79,1294.8,6198.74,1441.37,2850,89.75,0,0,1318181,32367,0,0,2
601,8/24/22,115884.68,987.66,8723.15,5105.89,2555.03,247.22,2441.83,1081.38,1292.88,4870.72,1378.59,2000,29.29,0,0,47848,29635,0,0,1
602,8/25/22,110133.24,981.04,7887.51,4518.64,2550.38,248.4,2430.14,783.55,1142.02,4547.88,863.88,17400,78.83,0,0,917621,32884,0,0,0
603,8/26/22,105994.02,976.13,6826.03,3588.48,2497.77,239.38,2133.94,607.91,996.54,4460,863.75,4000,93.79,0,0,916598,31073,0,0,0
604,8/27/22,115381.67,973.48,6545.08,3345.22,2453.8,234.41,2360.36,513.54,1359.76,5492.04,864.59,0,32.06,0,0,105276,31559,0,0,0
605,8/28/22,88447.18,1050.89,7014.61,3651.25,2692.47,265.18,2324.87,553.12,1490.17,5308.72,862.96,0,45.1,0,0,1038616,33623,0,0,0
606,8/29/22,91743.06,1033.93,6886.81,3568.07,2595.05,258.96,2029.59,609.11,939.5,4668.38,864.55,0,55.9,0,0,420667,34470,0,0,0
607,8/30/22,70848.9,1005.02,6679.97,3481.62,2600.37,254.68,2002.08,602.65,880.02,4565.23,909.63,0,9.99,0,0,3338,31857,0,0,0
608,8/31/22,89524.82,992.87,6264.16,3431.19,2473.74,251.18,2191.52,633.03,819.34,4436.74,953.22,0,10.1,0,0,1091935,28917,0,0,0
609,9/1/22,93725.91,978.94,5805.14,3398.88,2271.03,246.34,2049.82,532.91,733.92,4093.72,954.91,45000,40.14,0,0,3549,30767,0,0,0
610,9/2/22,261121.45,971.58,7808.43,5131.63,2246.25,241.25,2307.57,549.17,775.54,3675.43,950.27,0,106.34,2,0,1761861,31365,0,0,0
611,9/3/22,186990.73,966.76,8598.53,5659.03,2172.6,232.41,1995.25,626.62,846.64,4536.33,952.26,0,76.66,2,0,826289,27459,0,0,0
612,9/4/22,174266.55,1052.87,9273.97,6940.9,2413.84,263.45,2061.77,790.25,967.35,5199.52,957.66,0,169.75,2,0,932846,32589,0,0,0
613,9/5/22,279833.78,1031.73,9082.12,8152.57,2384.55,259.41,2027.48,839.62,1168.32,6069.5,959.41,0,139.06,2,0,728690,32302,0,0,0
614,9/6/22,62287.33,1668.1,8368.36,4429.11,2383.94,251.65,1597.34,689.31,829.05,4456.96,936.4,11400,20.6,0,0,0,26761,0,0,0
615,9/7/22,75229.27,1967.83,9327.25,4801.72,2377.78,246.71,1407.75,614.56,826.05,4274.89,924.16,12000,3.22,0,0,929049,28557,0,0,0
616,9/8/22,87188.27,1961.73,9923.65,4763.62,2361.39,248.44,1619.19,559.62,709.26,3669.91,961.98,17500,10.04,0,0,0,27418,0,0,0
617,9/9/22,77778.9,1943.57,9773.96,4273.59,2273.59,93.51,1559.73,343.06,617.33,3051.38,950.8,9250,44.06,0,0,932384,24578,0,0,0
618,9/10/22,85833.77,2459.59,13629.16,3931.56,2365.67,0,1391.22,267.39,562.21,3432.07,959.65,3500,35.82,0,0,0,27140,0,0,0
619,9/11/22,83921.5,3135.72,16804.75,4242.36,2528.11,0,1307.15,320.36,671.13,3777.79,942.88,0,4.15,0,0,1011741,30506,0,0,0
620,9/12/22,70423.9,3104.11,16680.35,4212.19,2492.85,0,1346.7,357.82,498.82,2675.06,954.39,8800,19.35,0,0,59,29120,0,0,0
621,9/13/22,72537.19,3021.13,16206.27,4078.27,2461.65,0,1443.47,396.27,629.38,3546.92,953.46,19900,32.11,0,0,290318,28908,0,0,0
622,9/14/22,67744.05,1570.34,14242.1,3819.02,2353,0,1213.91,302.24,557.92,3578.3,962.72,1500,17.54,0,0,59,24186,0,0,0
623,9/15/22,307381.96,976.89,14528.1,3717.35,2295.96,0,1847.67,300.52,541.8,3721.86,959.14,16758.377,57.43,0,0,920168,25761,0,3,0
624,9/16/22,138215.38,943.25,17298.5,4037.96,1351.37,0,1394.95,355.57,414.29,3455.05,1278.28,17500,42.3,0,0,1506193,22228,0,2,0
625,9/17/22,93621.78,998.99,19594.62,5086.79,1367.42,0,1072.54,259.5,370.4,3999.78,959.44,1000,24.4,0,0,884175,21874,0,1,0
626,9/18/22,93751.64,1053.33,20278.4,5332.78,1428.2,0,1238.84,320.7,620.68,4392.69,980.37,0,20.62,0,0,0,20834,0,0,0
627,9/19/22,115255.11,1006.82,18210.84,4992.73,1403.25,0,1222.4,322.19,482.21,3467.65,407.6,2600,87.91,0,0,921602,21670,0,0,0
628,9/20/22,96869.49,1013.14,15295.43,3846.18,1366.7,0,1192.39,258.64,393.99,3031.9,2.22,900,17.09,0,0,833787,20965,0,0,0
629,9/21/22,103965.81,986.51,14878.23,3749.4,1362.6,0,1199.85,237.02,486.35,2872.88,868.62,4750,10.43,0,0,133,20627,0,0,3
