date_day,revenue,Facebook Cost,Google Ads Cost,Bing Ads Cost,Pinterest Cost,Snapchat Cost,TikTok Cost,Influencer Cost,TikTok Influencers,Tatari,MNTN,Direct Mail,SMS Cost,Collab Spend,CJ Commissions,Fig Spend,Facebook - Loyalty,Linkby Spend,Google Ads - Retention Spend,Ad Credits,Sale,Mystery Box,SMS Sends,Email Campaign Delivery,Email Campaign Opens,Email Campaign Clicks,Email Flow Delivery,Email Flow Opens,Email Flow Clicks,Organic Impressions,Solid Color Launch,Print Launch,Product Launch
2021-01-01,113000.61,33913.6,10600.65,763.27,1345,5258.13,0,0,0,0,0,0,336.0967742,0,21.456,0,512.14,0,867.61,0,0,0,0,0,0,0,17355,1788,10926,5322.58,0,0,0
2021-01-02,93328.04,26595.05,10829.63,827.82,1345,4912.35,0,0,0,0,0,0,336.0967742,0,9.694,0,506.45,0,862.48,0,0,0,0,937551,6790,174860,22345,5331,24929,5322.58,0,0,0
2021-01-03,77925.66,27468.1,10684.1,863.36,1345,4384.28,0,0,0,0,0,0,336.0967742,0,3.696,0,480.56,0,880.01,0,0,0,0,0,0,0,15415,3137,15672,5322.58,0,0,0
2021-01-04,85556.8,25200.6,9450.62,908.28,1345,4191.35,0,0,0,0,0,0,336.0967742,0,23.441,0,481.53,0,1091.97,0,0,0,0,0,0,0,36801,15520,59647,5322.58,0,0,0
2021-01-05,69025.15,24604.83,8929.88,961.92,1317.51,4381.12,0,0,0,0,0,0,336.0967742,0,10.065,0,489.75,0,782.21,0,0,0,0,0,0,0,32822,11769,49050,5322.58,0,0,0
2021-01-06,84423.9,25347.74,7083.32,816.16,1245.03,4431.13,0,0,0,0,0,0,336.0967742,0,26.552,0,504.73,0,389.47,0,0,0,0,6187,1252,6204,24745,7832,33933,5322.58,0,0,0
2021-01-07,79199.08,25408.83,7656.45,873.81,1245,4350.08,0,0,0,0,0,0,336.0967742,0,51.679,0,503.49,0,464.27,0,0,0,7362,0,0,0,20663,5616,26231,5322.58,0,0,0
2021-01-08,90084.11,26041.24,7341.2,729.41,1245,3428.26,0,0,0,0,0,0,336.0967742,0,20.649,0,521.38,0,364.39,0,0,0,5798,0,0,0,21270,4266,23560,5322.58,0,0,0
2021-01-09,131380.02,26840.99,7882.1,754.58,1245,2747.97,0,0,0,0,0,0,336.0967742,0,27.479,0,518.56,0,326.66,0,0,0,6581,802952,12702,219106,17006,3582,20280,5322.58,0,0,0
2021-01-10,86723.23,24719.26,7346.04,700.67,1245,2881.61,0,0,0,0,0,0,336.0967742,0,3.773,0,501.43,0,272.6,0,0,0,0,0,0,0,11701,2194,12913,5322.58,0,0,0
