,DATE,revenue,collab_spend,facebook_cost,google_ads_cost,bing_ads_cost,tiktok_cost,influencer_cost,tiktok_influencer_cost,tatari_cost,mntn_cost,dm_cost,sms_cost,cj_cost,fig_cost,linkby_cost,sale_status,mb_status,sms_sends,email_campaign_delivery,email_flow_delivery,organic_impressions,print_launch,product_launch,solidcolor_launch
1,2020-12-27,"206,329",0,"60,509","21,430","1,591",0,0,0,0,0,0,672,31,0,0,0,0,0,"937,551","39,700","10,645",0,0,0
2,2021-01-03,"617,595",0,"180,912","59,028","5,908",0,0,0,0,0,0,"2,353",164,0,0,0,0,"19,741","809,139","168,722","37,258",0,0,0
3,2021-01-10,"921,615",0,"247,142","54,237","4,894",0,"1,500",0,0,0,0,"2,353",112,0,0,4,0,"10,102","2,651,121","135,671","37,258",0,0,0
4,2021-01-17,"1,203,363",0,"389,342","73,595","5,013",0,"5,500",0,0,0,0,"2,353",93,0,0,10,0,"16,953","2,688,190","213,057","37,258",0,0,0
5,2021-01-24,"543,033",0,"239,694","51,674","5,596",0,"2,500",0,0,0,0,"2,353",53,0,0,0,0,"31,996","2,810,655","108,209","37,258",0,0,0
6,2021-01-31,"636,525",0,"241,588","51,314","4,701",0,"13,950",0,0,0,0,"1,240",498,0,0,3,0,"51,399","1,883,531","114,257","28,894",0,0,0
7,2021-02-07,"492,911",0,"187,272","49,661","4,671",0,525,0,0,0,0,"1,054",332,0,0,2,0,"126,268","2,561,643","108,375","27,500",0,0,0
8,2021-02-14,"447,858",0,"149,677","33,624","3,903",0,"5,000",0,0,0,0,"1,054",79,0,0,0,0,"31,051","3,354,032","213,805","27,500",0,0,0
9,2021-02-21,"449,499",0,"138,718","31,216","4,758",0,"10,550",0,0,0,0,"1,054",73,0,0,0,0,"28,973","1,493,226","92,338","27,500",0,0,0
10,2021-02-28,"487,582",0,"152,509","33,856","4,818",0,"9,750",0,0,0,0,"7,794",147,0,0,0,0,"27,256","1,612,756","87,436","30,058",0,0,0
11,2021-03-07,"1,108,401",0,"317,302","56,364","5,055",0,"15,400",0,0,0,0,"8,917",180,0,0,0,0,"448,889","1,812,255","162,216","30,484",0,153,0
12,2021-03-14,"966,676",0,"326,414","63,776","7,938",0,"3,500",0,0,0,0,"8,917",161,0,0,0,0,"838,649","2,287,394","176,536","30,484",0,145,0
13,2021-03-21,"1,121,672",0,"291,533","54,050","6,592",0,"35,550",0,0,0,0,"8,917",196,0,0,0,0,"620,236","1,421,418","192,114","30,484",0,168,0
14,2021-03-28,"910,755",0,"271,805","55,444","6,248",0,"5,000",0,0,0,0,"7,544",83,0,0,5,0,"864,269","2,576,704","185,577","33,919",0,47,0
15,2021-04-04,"1,064,079",0,"297,354","59,503","6,813",0,"8,500",0,0,0,0,"5,714",180,0,0,0,0,"363,150","2,216,082","174,562","38,500",0,20,0
16,2021-04-11,"1,208,591",0,"369,905","63,253","6,572",0,"45,050",0,0,0,0,"5,714",426,0,0,0,0,"77,039","1,886,990","193,576","38,500",0,51,0
17,2021-04-18,"1,274,123",0,"467,444","76,021","7,609",0,"45,150",0,0,0,0,"5,714",213,0,0,0,0,"312,027","774,347","215,519","38,500",0,0,0
18,2021-04-25,"1,134,186",0,"418,216","77,313","6,357",0,"30,250",0,0,0,0,"6,950",255,0,0,0,0,"470,526","1,599,873","217,632","39,484",0,0,0
19,2021-05-02,"924,776",0,"364,715","74,904","6,210",0,"6,500",0,0,0,0,"14,369",231,0,0,0,0,"641,150","1,738,392","189,423","45,387",0,0,0
20,2021-05-09,"789,388",0,"308,135","60,084","5,676",0,"26,250",0,0,0,0,"14,369",439,0,0,0,0,"424,794","805,564","174,451","45,387",0,0,0
21,2021-05-16,"1,299,536",0,"402,012","73,880","5,159",0,"27,000",0,0,0,0,"14,369",703,0,0,0,0,"767,680","2,201,012","215,013","45,387",130,0,0
22,2021-05-23,"1,497,164",0,"415,696","85,284","6,132",0,"74,150",0,0,0,0,"14,369",608,0,0,2,0,"692,104","3,026,387","240,781","45,387",140,0,0
23,2021-05-30,"1,505,956",0,"407,759","82,561","6,002",0,"31,167",0,0,0,0,"9,514",792,0,0,3,0,"1,309,884","2,848,340","281,414","53,968",91,0,0
24,2021-06-06,"1,603,841",0,"487,407","96,988","6,856",0,"57,250",0,0,0,0,"7,572",818,0,0,0,0,"278,283","876,741","291,733","57,400",42,0,0
25,2021-06-13,"1,623,905",0,"491,184","108,230","6,100",0,"27,750",0,0,0,0,"7,572","1,155",0,0,0,0,"317,514","1,772,638","329,902","57,400",78,0,0
26,2021-06-20,"1,221,798",0,"427,505","91,770","4,374",0,"39,085",0,0,0,0,"7,572",569,0,0,0,0,"168,645","1,619,359","237,394","57,400",63,0,0
27,2021-06-27,"1,338,949",0,"417,287","72,578","5,709",0,"35,000",0,0,0,0,"6,728",627,0,0,0,0,"506,748","2,963,648","225,983","52,252",15,0,0
28,2021-07-04,"1,095,100",0,"467,992","75,945","4,174",0,"21,750",0,0,0,0,"5,602",326,0,0,0,0,"194,187","2,557,990","187,756","45,387",0,0,0
29,2021-07-11,"1,153,173",0,"383,368","76,047","5,020",0,"15,700",0,0,0,0,"5,602",358,0,0,0,0,"755,831","2,784,005","182,332","45,387",106,0,0
30,2021-07-18,"892,125",0,"315,222","69,132","5,178",0,"55,967",0,0,0,0,"5,602",232,0,0,0,0,"586,471","865,571","162,142","45,387",147,0,0
31,2021-07-25,"1,115,472",0,"311,136","57,394","4,410",0,"15,750",0,0,0,0,"5,602",214,0,0,0,0,"297,146","1,227,448","177,473","45,387",98,0,106
32,2021-08-01,"794,707",0,"311,481","51,003","3,576",0,"39,800",0,0,0,0,"7,124",511,0,0,3,0,"724,135","2,558,221","152,989","30,484",49,0,147
33,2021-08-08,"691,581",0,"250,062","45,183","3,094",0,"17,500",0,0,0,0,"7,124","2,234",0,0,2,0,"185,230","1,677,268","145,531","30,484",6,0,98
34,2021-08-15,"729,124",0,"329,339","43,057","2,895",0,"25,750",0,0,0,0,"7,124",320,0,0,0,0,"247,288","819,991","137,747","30,484",55,0,49
35,2021-08-22,"1,327,835",0,"267,068","43,209","4,065",0,"80,450",0,0,0,0,"7,124",477,0,0,0,0,"882,408","3,199,077","176,438","30,484",161,0,6
36,2021-08-29,"1,697,086",0,"414,156","51,628","3,734",0,"54,934",0,0,0,0,"6,207",645,0,0,5,0,"1,451,073","2,018,203","251,256","31,065",112,153,0
37,2021-09-05,"1,393,284",0,"378,693","62,343","4,119",0,"8,550",0,0,0,0,"5,519","1,969",0,0,3,0,"780,008","1,636,626","222,611","31,500",63,133,0
38,2021-09-12,"660,666",0,"292,580","51,526","4,027",0,"21,500",0,0,0,0,"5,519",326,0,0,1,0,"394,756","1,638,365","150,180","31,500",20,84,0
39,2021-09-19,"510,897",0,"204,084","39,840","3,510",0,"20,383",0,0,0,0,"5,519",302,0,0,2,0,"730,199","2,188,043","133,994","31,500",1,35,0
40,2021-09-26,"545,795",0,"187,390","35,886","3,319",0,"3,333",0,0,0,0,"5,289",254,0,0,1,0,"214,067","1,806,329","125,318","31,210",0,1,0
41,2021-10-03,"660,933",0,"197,663","34,362","2,909",0,"9,850",0,0,0,0,"4,714",309,0,0,0,0,"44,557","2,330,961","109,782","30,484",55,0,0
42,2021-10-10,"808,179",0,"231,941","40,481","3,255",0,"20,583",0,0,0,0,"4,714",295,0,0,0,0,"1,080,324","1,678,707","121,371","30,484",161,0,0
