,DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter
1,11/23/2015,2754371.667,167687.6,0,95463.66667,72903852.71,0,0,8125009,228213.9874,na,19401.65385
2,11/30/2015,2584276.667,214600.9,0,0,16581099.55,29511.71546,31000,7901549,34258.57351,na,14791
3,12/7/2015,2547386.667,0,248022,3404,49954773.67,36132.35896,28400,8300197,127691.2613,na,14544
4,12/14/2015,2875220,625877.3,0,132600,31649297.03,36804.21096,31900,8122883,84014.72031,na,2800
5,12/21/2015,2215953.333,0,520005,0,8802269.479,28401.74407,27100,7105985,20687.47816,na,15478
6,12/28/2015,2569921.667,249189.8,0,239417.3333,49902081.11,38061.77591,28300,7097237,160110.1552,na,13817
7,1/4/2016,2171506.667,5152.9,425163,0,41147695.82,36289.51378,27800,6974368,108690.367,na,28817
8,1/11/2016,2464131.667,22141.7,0,176859.6667,56554690.6,34765.10899,32000,7452174,123894.4846,na,19082
9,1/18/2016,2012520,0,0,0,35730563.64,28023.4815,22900,6703566,108690.367,na,19679
10,1/25/2016,1738911.667,0,0,84329.33333,31861260.55,21069.73925,22900,5535394,90080.71755,na,15095
11,2/1/2016,1772306.667,123838.7,79645,0,0,28023.9773,20600,5480098,0,na,9795
12,2/8/2016,1809058.333,0,0,35726.66667,34249657.55,21323.33197,20200,5872523,106931.4659,na,10876
13,2/15/2016,1952740,497073.3,0,18363,15189759.02,0,0,5822926,43457.93221,na,19401.65385
14,2/22/2016,1507805,0,0,0,0,0,0,5027123,0,na,19401.65385
15,2/29/2016,1510391.667,311672.2,0,0,32458460.73,16067.67012,17200,4561518,72467.89212,na,583
16,3/7/2016,1588840,0,0,123795.6667,0,28877.38417,21200,4996211,0,na,8224
17,3/14/2016,1605990,148293.3,82489,0,0,17065.23476,17800,4938630,0,na,5311
18,3/21/2016,1356010,0,0,0,0,21110.45735,17200,4520383,0,na,7428
19,3/28/2016,2103936.667,0,123916,101845.6667,80241679.46,18271.14539,19000,4506918,194131.4522,na,10025
20,4/4/2016,1120835,0,0,0,3439178.323,13909.65659,14300,3738504,625.1193421,na,9460
21,4/11/2016,1141140,0,124526,0,0,13329.7719,14000,3768926,0,na,2964
22,4/18/2016,1166880,83450.5,0,0,28249364.1,17090.72333,13400,3663385,70460.6356,na,11663
23,4/25/2016,888806.6667,0,0,0,0,12314.67422,13500,2960479,0,na,6317
24,5/2/2016,898873.3333,0,0,93889.33333,0,11055.04348,9500,2861890,0,na,5408
25,5/9/2016,889373.3333,0,93671,0,0,13268.14271,10700,2941465,0,na,1900
26,5/16/2016,1915375,0,0,0,50755966.77,0,0,3039148,110217.9232,na,19401.65385
27,5/23/2016,1006845,0,233330,0,0,0,0,3292482,0,na,19401.65385
28,5/30/2016,869198.3333,0,0,0,0,13697.36256,10100,2895248,0,na,9003
29,6/6/2016,727250,0,0,0,0,9330.996159,9000,2427455,0,na,4305
30,6/13/2016,753730,0,0,0,0,14439.94311,11400,2516566,0,na,7217
31,6/20/2016,999196.6667,153542.9,232328,0,33454960.66,13426.18537,12200,3012353,76594.67544,na,1983
32,6/27/2016,845843.3333,0,0,0,0,11025.09151,11300,2826660,0,na,3437
33,7/4/2016,1126016.667,75907.6,0,38763,0,13000.97539,13100,3489775,0,na,4147
34,7/11/2016,1140978.333,0,0,0,0,17558.74219,14300,3807127,0,na,8479
35,7/18/2016,1242656.667,14253.1,599331,35855,33729872.87,12646.61028,10700,3824504,106584.4487,na,6348
36,7/25/2016,1293483.333,0,0,0,0,18869.83387,14600,4307032,0,na,13762
37,8/1/2016,1484843.333,211351.9,307907,0,53605561.39,20555.1551,17100,4396674,153060.9425,na,11841
38,8/8/2016,1485698.333,0,0,6058.333333,0,21913.05633,19000,4941143,0,na,17162
39,8/15/2016,1556608.333,214730.1,0,0,15373941.62,0,0,4762083,30356.33075,na,19401.65385
40,8/22/2016,1391206.667,0,0,104848,11664166.53,0,0,4409483,19255.18155,na,19401.65385
41,8/29/2016,2018783.333,179933.7,299336,0,0,27453.53936,23100,6065021,0,na,2453
42,9/5/2016,2170721.667,159463.8,164644,23110.33333,3879870.365,21811.12699,23800,6512777,1883.907329,na,3186
43,9/12/2016,2247670,0,300217,0,0,30396.49893,25000,7311071,0,na,11247
44,9/19/2016,2192026.667,0,61302,191524.6667,54564098.36,31697.68061,25500,6652807,136128.543,na,15280
45,9/26/2016,1895213.333,0,304454,0,0,22420.11815,22300,6168548,0,na,2886
46,10/3/2016,2232910,1084024.8,228506,73598.66667,42679536.94,28940.12738,25300,6395275,94415.03078,na,14067
47,10/10/2016,2406035,0,0,80428.33333,46050657.17,37640.48678,29900,7711902,108425.0009,na,24098
48,10/17/2016,2252445,610420.1,55867,0,61417892.42,36705.0621,27900,6734048,159732.5188,na,26550
49,10/24/2016,2663125,0,297961,70207.33333,63942540.26,31599.39534,30600,8356638,175977.6881,na,17728
50,10/31/2016,2974771.667,704960.9,0,0,71765591.94,34659.92398,36700,8937615,192222.8574,na,13989
51,11/7/2016,2826128.333,0,267379,86578.66667,64033311.37,42223.9927,31200,8832206,208648.3396,na,29426
52,11/14/2016,3182900,392432.9,0,0,52199572.16,0,0,9584624,159960.4615,na,19401.65385
53,11/21/2016,2964696.667,52177.9,271909,54698,80485549.89,0,0,9029457,200462.8155,na,19401.65385
54,11/28/2016,2848525,0,0,31072,53736753.5,73955.95632,71500,9334174,141956.3911,na,27941
55,12/5/2016,2740160,106908,448276,0,21469926.03,65123.98793,63000,8234498,49694.03594,na,51273
56,12/12/2016,2380508.333,0,0,0,29472934.6,52768.86061,55100,7904539,90910.8372,na,19606
57,12/19/2016,2230915,0,627975,0,14122124.69,47686.78427,51700,7127441,30356.33075,na,4453
58,12/26/2016,3659425,807907.6,0,0,68537049.5,77849.586,58000,7730351,216796.4402,na,559
59,1/2/2017,2827008.333,307907.6,850680,209986,58171140.21,58179.84153,55300,7498330,128436.3277,na,46507
60,1/9/2017,2042143.333,0,0,0,58671678.03,63213.96521,53100,6815506,164189.3087,na,21771
61,1/16/2017,2113358.333,44349.7,0,11517.33333,56039474.62,61912.6341,50300,6701008,179631.5754,na,35351
62,1/23/2017,2179918.333,0,0,80857.33333,86758062.44,61384.37354,52500,6998027,195073.8421,na,13998
63,1/30/2017,2370613.333,301837.2,0,0,60054669.93,68123.11287,54200,7097324,128419.3171,na,27415
64,2/6/2017,1814556.667,0,0,0,0,44602.76789,41900,6048680,0,na,4085
65,2/13/2017,1951668.333,0,239482,0,88205178.52,0,0,6290401,247813.6566,na,19401.65385
66,2/20/2017,1918238.333,0,0,80182.66667,0,0,0,6137639,0,na,19401.65385
67,2/27/2017,1472390,0,0,0,142691898.2,37539.20492,33800,4802056,417018.577,na,26556
68,3/6/2017,1477865,0,0,105208.3333,0,46462.99321,35000,4688746,0,na,12272
69,3/13/2017,1300166.667,77706.6,0,0,0,41198.0192,31600,4119318,0,na,25992
70,3/20/2017,1160205,0,0,148903.6667,0,29804.31852,28300,3618373,0,na,22696
71,3/27/2017,1356871.667,0,45893,0,31147280.42,45902.22993,36000,4476843,78476.05316,na,26404
72,4/3/2017,1355833.333,0,0,0,0,31975.80037,34200,4523389,0,na,1245
73,4/10/2017,1176266.667,0,938178,0,0,25465.64866,27500,3711150,0,na,1126
74,4/17/2017,1955281.667,56017.9,0,0,0,27251.5034,26600,3057885,0,na,11966
75,4/24/2017,1029928.333,0,555290,0,0,26141.46141,24500,3309344,0,na,17897
76,5/1/2017,2263143.333,274671.9,0,0,0,22180.03825,19500,2826863,0,na,6052
77,5/8/2017,813771.6667,0,574399,0,0,18525.61577,20100,2604828,0,na,9055
78,5/15/2017,880871.6667,0,0,0,0,0,0,2940496,0,na,19401.65385
79,5/22/2017,919185,0,76887,0,46342101.03,0,0,3024982,119356.0436,na,19401.65385
80,5/29/2017,826321.6667,0,0,53810.33333,0,18580.09291,16300,2681061,0,na,5778
81,6/5/2017,833798.3333,68441,79663,0,38495441.92,18758.71243,20100,2609725,92761.59575,na,1988
82,6/12/2017,746271.6667,0,0,0,0,22062.26296,16700,2487079,0,na,4794
