"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","email_flow_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"1",2022-01-02,654913,0,-134459.470196097,0,0,0,0,0,31653.0865713175,486278.297899957,146325.028029917,5608.34953297143,2878.7863035385,44023.4666251723,0,0,101110.53326631,0,11508.6031551291,537.792178678785,0,0,6403.16882468416,11167.5811727739,0,0,0,713035.223364353,"3_96_17",7,FALSE
"2",2022-01-09,1098519,0,-82291.6257943768,0,-31207.3967675326,0,0,0,63306.1731426349,522593.801695076,147632.049063861,5509.57198235905,7880.27557195458,66838.9318120335,0,0,49811.7315080237,0,10398.571115131,4576.87355336779,0,0,151141.683497391,13893.7313285919,0,0,0,930084.371708515,"3_96_17",7,FALSE
"3",2022-01-16,963182,0,-66086.5603086143,56519.5499844213,-27127.9984972669,0,0,0,158265.432856587,594873.118192554,179080.864959969,5832.3720600244,13343.3800653193,83036.1338957053,0,0,12670.6167763355,0,10244.3741219222,2285.25396679839,0,0,6014.82134738112,24179.8177712289,0,0,0,1053131.17719237,"3_96_17",7,FALSE
"4",2022-01-23,557152,0,-92623.2892512541,0,-17133.4727351159,0,0,0,0,519842.719225741,159151.213780489,6520.69840273367,22140.6843479624,74117.2847514826,0,0,2387.1062186833,0,10222.5085878203,630.131328552207,0,0,14599.8680593073,24453.0608480705,0,0,0,724308.513564472,"3_96_17",7,FALSE
"5",2022-01-30,594670,0,-127184.795383642,0,-7138.94697296497,0,0,0,0,500940.400107522,152608.901734456,6153.20775464426,23303.239339577,51824.2196381525,0,0,419.592541096069,0,14894.845055542,1235.99431462557,0,0,585.139223609261,60785.5994933965,0,0,0,678427.396846014,"3_96_17",7,FALSE
"6",2022-02-06,893466,0,-142238.118624025,0,-203.969913513285,-26923.021898894,0,0,0,550885.392024045,177183.279888801,5975.99514591793,16235.7107216637,89172.1038851115,0,0,72.8202289219805,0,17666.8229587623,2708.39117546988,0,0,120863.152507386,28420.9008180921,0,0,0,839819.458917739,"3_96_17",7,FALSE
"7",2022-02-13,836533,0,-137251.08317214,0,0,-28994.0235834243,0,0,15826.5432856587,596070.877969511,174877.522449234,6472.90827299297,12250.3329910962,99827.9673552684,0,0,12.6098122279944,0,18071.7058446615,261.705718958128,0,0,102834.101998333,8016.43357001317,0,0,0,868277.602512389,"3_96_17",7,FALSE
"8",2022-02-20,726653,0,-121551.735735509,-7555.87496493808,0,-18846.1153292258,0,0,0,556349.483966435,163097.724221802,6651.12502965656,31096.7400300117,81250.2390197303,0,0,2.18271682383479,0,18129.5100827615,597.287716993737,0,0,15586.9623978804,15963.9403626041,0,0,0,740771.469515027,"3_96_17",7,FALSE
"9",2022-02-27,884322,0,-96692.4511588941,0,0,-8698.20707502728,0,0,0,571572.420307279,141211.375614402,7524.48376065743,37032.27809245,88294.7760027137,0,0,0.377795794350718,0,24448.7249999514,661.488443390596,0,0,28361.0450205477,13416.1787114228,0,0,0,807132.490514688,"3_96_17",7,FALSE
"10",2022-03-06,854156,0,-62600.5739017848,0,0,-621.300505359091,0,3797.02282921374,0,591799.062178034,162870.238628645,8402.73050742357,37857.8303187797,70956.6907973242,0,0,0.0653900716533075,0,27944.6283190933,458.843878650605,0,0,10064.1454851078,17404.4622232871,0,0,0,868333.846148487,"3_96_17",7,FALSE
"11",2022-03-13,1041636,0,-30825.2587918047,0,-26516.088756727,0,0,0,0,566291.480708126,199489.073378784,8664.75584341452,66245.8517046705,114372.432805055,0,0,0.0113178943889956,0,28441.8873264759,508.240373202734,0,0,137491.219799306,18386.4960948314,0,0,0,1082550.10180323,"3_96_17",7,FALSE
"12",2022-03-20,1023846,0,-18214.7158976974,0,-28555.7878918599,0,0,3797.02282921374,15826.5432856587,536981.923825451,213648.378130993,6304.13218604144,85653.4914777482,101862.119992857,0,0,0.00195893177245659,0,28512.6161413121,1327.8413884451,0,0,118598.2158772,33555.1288999646,0,0,0,1099296.91220426,"3_96_17",7,FALSE
"13",2022-03-27,984190,0,-25939.2504386068,0,-18561.2621297089,0,0,0,0,505825.590651786,196097.718111829,7565.05725460539,73059.1752169055,134112.924472691,0,0,0.000339057189159316,0,28760.3176267269,1128.89466612688,0,0,22543.0809072828,73931.9724503292,0,0,0,998524.219129024,"3_96_17",7,FALSE
"14",2022-04-03,1024756,0,-34114.9367563415,0,-8566.73636755797,0,0,3797.02282921374,15826.5432856587,509060.972574088,161594.219151184,7966.27958716792,66134.61445017,109459.123253213,0,0,5.86849312172663e-05,0,29386.082073257,1565.59649001835,0,0,85288.6090271735,90536.2035359568,0,0,0,1037933.59319189,"3_96_17",7,FALSE
"15",2022-04-10,1010760,0,-23814.1717722031,0,-611.909740539855,0,0,0,0,537724.878613295,170564.671191108,6142.32739681993,85722.4982994767,124639.010516341,0,0,1.01573458870457e-05,0,29475.0447904651,25977.5013960655,0,0,137348.697987058,20337.6247106209,0,0,0,1113506.17339866,"3_96_17",7,FALSE
