"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_thetas","cj_cost_alphas","cj_cost_gammas","cj_cost_thetas","dm_cost_alphas","dm_cost_gammas","dm_cost_thetas","email_campaign_delivery_alphas","email_campaign_delivery_gammas","email_campaign_delivery_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","fig_cost_alphas","fig_cost_gammas","fig_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","linkby_cost_alphas","linkby_cost_gammas","linkby_cost_thetas","mntn_cost_alphas","mntn_cost_gammas","mntn_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","sms_cost_alphas","sms_cost_gammas","sms_cost_thetas","sms_sends_alphas","sms_sends_gammas","sms_sends_thetas","tatari_cost_alphas","tatari_cost_gammas","tatari_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","tiktok_influencer_cost_alphas","tiktok_influencer_cost_gammas","tiktok_influencer_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.80985,0.997662,0.2458959,2.20739,0.9037318,0.163458,0.73936125,0.691398,0.2497666,2.45156,0.6693102,0.0340416,0.6033965,0.34817456,0.0193575,1.42478,0.7924122,0.1621782,1.3434125,0.8575521,0.00910623,0.6955645,0.8190668,0.2803476,1.8220025,0.7629016,0.0359493,2.192925,0.8306329,0.6797645,1.144065,0.8898886,0.2453928,2.0147325,0.8369623,0.2198226,2.538165,0.5573284,0.0607746,1.36428,0.7472097,0.7358455,1.340285,0.9475749,0.01568913,1.52995,0.8101334,0.1681575,0.6209837,0.809781408214771,0.798215610147228,0.161404778953161,0.0655303644891718,0.32729970729978,0.588628164351866,0.32729970729978,0.0387802838667255,0,60966.8992282974,0.00157188,36469502.4741323,1e-04,0,0.0770609378814697,67.3786849975586,"2_52_6",2,52,6,975,TRUE,TRUE,1,0.00699731091372278,5,FALSE
"2",1.811165,0.9943636,0.2456916,2.130395,0.8782581,0.1643085,0.721816,0.7178475,0.2010859,2.173845,0.6868844,0.0654858,0.60060725,0.3878577,0.02122032,1.432615,0.7985141,0.1647588,1.29501,0.8581702,0.0407856,0.72124275,0.816061,0.2798406,1.96151,0.7759097,0.0402921,2.0144625,0.8037732,0.645584,1.1901675,0.8456192,0.2420901,2.16389,0.8610248,0.2187471,2.468135,0.5975826,0.0581487,1.2168475,0.796062,0.7385805,1.447995,0.918898,0.01913892,0.640099,0.841814,0.1910742,0.6211823,0.804336977073927,0.794098506665486,0.156189218252604,0.0664615525046275,0.33062187322083,0.590455784638474,0.33062187322083,0.0437716707474312,0,59538.5316674268,0.00153271,36469502.4741323,1e-04,0,0.0670218467712402,81.5057718753815,"2_62_18",2,62,18,1177,TRUE,TRUE,4,0.00757715607461169,5,FALSE
"3",1.87242,0.9806268,0.2413965,2.1733525,0.8383924,0.1749144,0.791935,0.6863342,0.2019034,1.79278,0.5899365,0.1082628,0.56982825,0.548122,0.0301278,1.0651475,0.5950451,0.2261139,1.4254125,0.8032937,0.01494702,0.585306,0.7865042,0.2773122,1.9856,0.9779115,0.02161605,2.2298825,0.702752,0.534806,1.644485,0.9233031,0.175245,2.5763575,0.7356919,0.2222073,1.9302425,0.6437077,0.0448899,0.6880285,0.9330422,0.7308325,1.91933,0.9359759,0.0437304,0.8266275,0.876275,0.2187912,0.62126,0.806575875525203,0.810125429740033,0.113646690178214,0.0660802111934158,0.317493790558587,0.605157307556628,0.317493790558587,0.049288844491101,0,21181.9944663396,0.000480862,36469502.4741323,1e-04,0,0.0589940547943115,81.570513010025,"2_62_19",2,62,19,1178,TRUE,TRUE,5,0.00922061252551203,5,FALSE
"4",1.6916125,0.9912843,0.2461995,2.12765,0.930161,0.1633473,0.57004625,0.4721195,0.1885036,2.964205,0.5242086,0.0082035,0.56057125,0.33434599,0.00641847,1.34981,0.8900363,0.0646119,1.3615275,0.8104736,0.01724643,0.53721,0.7813816,0.2752329,1.96306,0.9490799,0.0775551,2.3098075,0.7427731,0.5767395,1.5075175,0.9165733,0.2016639,2.3611175,0.7588353,0.2201847,2.1236725,0.6047373,0.0472101,0.821045,0.9162324,0.739497,1.5728625,0.8518632,0.01384785,1.49151,0.8213187,0.1724718,0.6179519,0.815299497185074,0.801885496328535,0.102115900555534,0.0645728777144034,0.32430972303982,0.609080908626285,0.32430972303982,0.040986250372,0,59112.2458163526,0.00152102,36469502.4741323,1e-04,0,0.0603001117706299,89.2489700317383,"2_68_14",2,68,14,1287,TRUE,TRUE,1,0.00827229478517875,5,FALSE
"5",1.9825025,0.9764842,0.2359452,2.01936,0.9656559,0.1765851,0.6850665,0.5216942,0.1520986,1.7186175,0.4470154,0.1417926,0.52229625,0.5472393,0.01590693,1.0522275,0.6839801,0.167163,1.422615,0.7889325,0.00739764,0.60681275,0.7871979,0.2776539,1.8685675,0.8356792,0.0856212,2.5462175,0.7769898,0.6111435,1.427685,0.9272049,0.2156676,2.0044875,0.7656085,0.2114574,2.095665,0.612837,0.0370356,0.5596695,0.9613929,0.745714,1.832205,0.7870103,0.0469146,2.07065,0.7789834,0.2047824,0.6216479,0.801151114597786,0.809132125634484,0.119717521998248,0.0670004443492286,0.318323170999138,0.603081317927434,0.318323170999138,0.0485924338714309,0,11100.4981847843,0.000204398,36469502.4741323,1e-04,0,0.0586330890655518,89.3133599758148,"2_68_15",2,68,15,1288,TRUE,TRUE,5,0.00899051443550174,5,FALSE
"6",1.889185,0.9919885,0.2368206,2.17033,0.8879237,0.1622169,0.62806425,0.6215905,0.1428862,2.4885825,0.4952958,0.05031,0.565502,0.36086304,0.0079872,1.31692,0.8616464,0.0874422,1.3615225,0.8250854,0.01652979,0.5628445,0.7967088,0.2796162,1.83811,0.7897837,0.1024929,2.5003075,0.8230344,0.656909,1.256015,0.9125623,0.2563677,1.83782,0.7833353,0.2097681,2.46737,0.6212881,0.0462324,0.7982175,0.9265028,0.7513655,1.921125,0.6900127,0.0486342,0.64176875,0.925247,0.183783,0.6249197,0.803148399097357,0.799445623365637,0.141062343943831,0.0666631111172675,0.326300625190455,0.595724783276738,0.326300625190455,0.0420109361151904,0,58716.2266253632,0.00151016,36469502.4741323,1e-04,0,0.0997848510742188,90.0897908210754,"2_69_5",2,69,5,1297,TRUE,TRUE,3,0.00764348309046911,5,FALSE
"7",1.889185,0.9919885,0.2368206,2.17033,0.8879237,0.1622169,0.62806425,0.6215905,0.1428862,2.4885825,0.4952958,0.05031,0.565502,0.36086304,0.0079872,1.31692,0.8616464,0.0874422,1.3615225,0.8250854,0.01652979,0.5628445,0.7967088,0.2796162,1.83811,0.7897837,0.1024929,2.5003075,0.8230344,0.656909,1.256015,0.9125623,0.2101824,2.5169075,0.7594485,0.2306721,2.2079725,0.6061401,0.0462324,0.7982175,0.9265028,0.7513655,1.921125,0.6900127,0.0486342,0.64176875,0.925247,0.183783,0.6249197,0.805370433876116,0.79520453591668,0.134646306769835,0.0662858011581558,0.329732686230292,0.597945597075643,0.329732686230292,0.0359074161866981,0,58716.2266253632,0.00151016,36469502.4741323,1e-04,0,0.0616500377655029,92.4207189083099,"2_70_16",2,70,16,1327,TRUE,TRUE,1,0.00744156725368759,5,FALSE
"8",1.6916125,0.9912843,0.2461995,2.12765,0.930161,0.1633473,0.57004625,0.4721195,0.1885036,2.964205,0.5242086,0.0082035,0.56057125,0.33434599,0.00641847,1.34981,0.8537609,0.0670569,1.427245,0.7761253,0.01488492,0.6028145,0.7581052,0.2726082,2.0622225,0.9089496,0.0627294,2.357525,0.6935778,0.518926,1.7610625,0.980036,0.1624905,2.2279,0.6814328,0.2004474,2.1236725,0.6047373,0.0472101,0.821045,0.9162324,0.739497,1.5728625,0.8518632,0.01384785,1.49151,0.8213187,0.1724718,0.6179519,0.816611789086326,0.801654969192412,0.115469618540651,0.0643430745564032,0.324498352480126,0.604534685517975,0.324498352480126,0.0442616430818189,0,59112.2458163526,0.00152102,36469502.4741323,1e-04,0,0.0713498592376709,95.9920790195465,"2_73_9",2,73,9,1377,TRUE,TRUE,3,0.0083757722306982,5,FALSE
"9",1.9825025,0.9764842,0.2359452,2.01936,0.9656559,0.1765851,0.6850665,0.5216942,0.1520986,1.7186175,0.4470154,0.1417926,0.52229625,0.5472393,0.01590693,1.0522275,0.6839801,0.167163,1.422615,0.7889325,0.00739764,0.60681275,0.7871979,0.2776539,1.8685675,0.8356792,0.0856212,2.5462175,0.7769898,0.6111435,1.427685,0.9272049,0.2156676,2.0044875,0.7656085,0.2135499,2.068455,0.6276112,0.0370743,0.5594675,0.9524868,0.745714,1.832205,0.7870103,0.0469146,2.07065,0.7789834,0.2047824,0.6216479,0.801247687146762,0.809277181666776,0.120522579303726,0.0669841727229837,0.318202188165757,0.602805482562102,0.318202188165757,0.048726488634499,0,11100.4981847843,0.000204398,36469502.4741323,1e-04,0,0.0602729320526123,96.05823802948,"2_73_10",2,73,10,1378,TRUE,TRUE,5,0.00900215380797289,5,FALSE
"10",1.86514,0.9955312,0.2533575,2.2088975,0.7852407,0.1660794,0.72676425,0.6973018,0.1731706,2.21715,0.5780442,0.0718713,0.55704025,0.4670515,0.0396963,1.02149,0.6510626,0.2307825,1.48717,0.8022395,0.01330782,0.56776125,0.7851259,0.2728329,1.878875,0.8392877,0.0338088,2.185,0.710739,0.536644,1.7270625,0.9871704,0.1734654,1.9678925,0.7281046,0.1999452,1.851905,0.6478587,0.0463995,0.747085,0.9220172,0.7317715,1.881095,0.7597117,0.0485073,0.705159,0.9141156,0.1686219,0.6200342,0.810063508950355,0.792451423653021,0.124702509033911,0.0654817545640227,0.331941623160943,0.601371286818466,0.331941623160943,0.0426838100776362,0,56760.198135062,0.00145652,36469502.4741323,1e-04,0,0.0691590309143066,97.663341999054,"2_74_14",2,74,14,1401,TRUE,TRUE,4,0.00801797204028524,5,FALSE
