"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"1",2022-01-02,654913,0,-140227.655927247,0,0,0,0,0,40219.6787855078,149598.891273157,46825.7590347265,0,90466.6860119733,0,0,0,37217.9824961365,0,114846.788152702,192421.89076538,0,0,66252.0289252499,92060.7787977817,4169.72913190185,60529.3589582946,754381.916405565,"1_62_7",14,FALSE
"2",2022-01-09,1098519,0,-85821.859708046,0,41839.4585415466,0,0,0,80439.3575710155,137074.936919675,40694.9596538779,0,91135.1352460021,0,0,0,18654.1776229284,0,95888.2525146144,185431.097742064,0,0,145643.331089666,69306.829481668,3195.11422058233,60529.3589582946,884010.149853889,"1_62_7",14,FALSE
"3",2022-01-16,963182,0,-68921.6120430662,88037.1373699395,36370.2482746778,0,0,0,201098.393927539,184302.760496607,42801.3298906313,0,96588.3819576802,0,0,0,1049.4305425127,0,85738.9574984316,170661.148057226,0,0,111579.835049766,72811.688718711,2796.11446972399,60529.3589582946,1085443.17316868,"1_62_7",14,FALSE
"4",2022-01-23,557152,0,-96596.7418808984,0,22970.6831208491,0,0,0,0,176863.489545888,43832.5554409044,0,102360.07749249,0,0,0,1.83370368405181,0,81012.9505204776,148670.968339183,0,0,72122.5222660866,80473.5450145801,2746.51585482604,60529.3589582946,694987.758376365,"1_62_7",14,FALSE
"5",2022-01-30,594670,0,-132640.904357456,0,9571.11796702046,0,0,0,0,148273.542079149,42401.3546597399,0,105409.130901915,0,0,56383.7132536918,5.06534635609839e-05,7190.43815294703,92906.2408216714,140435.656951766,0,0,27540.3621324623,109333.421585834,2646.57674844006,60529.3589582946,669980.009906129,"1_62_7",14,FALSE
"6",2022-02-06,893466,0,-148340.001110072,0,273.460513343442,-50401.9236813534,0,0,0,156241.591263075,43606.6222153932,0,104546.354177563,0,0,96636.6038948448,1.0582253380405e-11,41339.3095314169,107683.058836906,144086.462479359,0,0,107240.624556931,106597.428339463,2493.13105492006,60529.3589582946,772532.081030086,"1_62_7",14,FALSE
"7",2022-02-13,836533,0,-143139.026493528,0,0,-54278.9947337652,0,0,20109.8393927539,195788.498750983,45371.4782302955,0,101715.131906504,0,0,106024.503314636,8.47647820735498e-21,47791.0806852357,116871.323525932,122030.300266169,0,0,148500.424261842,72725.6527118971,2406.54375745604,60529.3589582946,842446.114534705,"1_62_7",14,FALSE
"8",2022-02-20,726653,0,-126766.191709815,-11769.3364936857,0,-35281.3465769474,0,0,0,197377.74567114,44866.8186681308,0,105272.650106223,0,0,114728.202260407,1.348290680726e-32,47799.2852115962,121582.91424202,115494.048026059,0,0,116605.024178189,62549.4439131877,2385.32652264475,60529.3589582946,815373.942977444,"1_62_7",14,FALSE
"9",2022-02-27,884322,0,-100840.467035137,0,0,-16283.6984201296,0,0,0,196032.734260902,41708.1614099096,0,109908.469855837,0,0,120228.353102621,2.23849459380559e-47,46120.9380327957,139968.588305055,111614.584622492,0,0,88365.7932477623,61213.4939533351,2714.27254427963,60529.3589582946,861280.582838016,"1_62_7",14,FALSE
"10",2022-03-06,854156,0,-65286.0800741314,0,0,-1163.12131572354,0,-25574.1814094585,0,208083.478181824,41228.953410178,0,111966.267990754,0,0,122300.524247847,2.06807246160907e-65,20682.6308530384,158158.853997179,105281.153093195,0,0,56681.5952505547,65499.981845387,3192.12635793377,60529.3589582946,861581.541386871,"1_62_7",14,FALSE
"11",2022-03-13,1041636,0,-32147.6336134709,0,35549.8667346474,0,0,0,0,203919.467170338,46036.4039112662,0,116972.103885512,0,0,123161.999054404,5.74519182061444e-87,39.1759044267652,168598.312434295,102370.244891153,0,0,133690.175451387,69662.3755693126,3437.8844902074,60529.3589582946,1031819.73484177,"1_62_7",14,FALSE
