"","X","DATE","revenue","collab_spend","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sale_status","mb_status","sms_sends","email_campaign_delivery","email_flow_delivery","organic_impressions","print_launch","product_launch","solidcolor_launch"
"1",1,2020-12-27,206329,0,60509,21430,1591,0,0,0,0,0,0,672,31,0,0,0,0,0,937551,39700,10645,0,0,0
"2",2,2021-01-03,617595,0,180912,59028,5908,0,0,0,0,0,0,2353,164,0,0,0,0,19741,809139,168722,37258,0,0,0
"3",3,2021-01-10,921615,0,247142,54237,4894,0,1500,0,0,0,0,2353,112,0,0,4,0,10102,2651121,135671,37258,0,0,0
"4",4,2021-01-17,1203363,0,389342,73595,5013,0,5500,0,0,0,0,2353,93,0,0,10,0,16953,2688190,213057,37258,0,0,0
"5",5,2021-01-24,543033,0,239694,51674,5596,0,2500,0,0,0,0,2353,53,0,0,0,0,31996,2810655,108209,37258,0,0,0
"6",6,2021-01-31,636525,0,241588,51314,4701,0,13950,0,0,0,0,1240,498,0,0,3,0,51399,1883531,114257,28894,0,0,0
"7",7,2021-02-07,492911,0,187272,49661,4671,0,525,0,0,0,0,1054,332,0,0,2,0,126268,2561643,108375,27500,0,0,0
"8",8,2021-02-14,447858,0,149677,33624,3903,0,5000,0,0,0,0,1054,79,0,0,0,0,31051,3354032,213805,27500,0,0,0
"9",9,2021-02-21,449499,0,138718,31216,4758,0,10550,0,0,0,0,1054,73,0,0,0,0,28973,1493226,92338,27500,0,0,0
"10",10,2021-02-28,487582,0,152509,33856,4818,0,9750,0,0,0,0,7794,147,0,0,0,0,27256,1612756,87436,30058,0,0,0
"11",11,2021-03-07,1108401,0,317302,56364,5055,0,15400,0,0,0,0,8917,180,0,0,0,0,448889,1812255,162216,30484,0,153,0
"12",12,2021-03-14,966676,0,326414,63776,7938,0,3500,0,0,0,0,8917,161,0,0,0,0,838649,2287394,176536,30484,0,145,0
"13",13,2021-03-21,1121672,0,291533,54050,6592,0,35550,0,0,0,0,8917,196,0,0,0,0,620236,1421418,192114,30484,0,168,0
"14",14,2021-03-28,910755,0,271805,55444,6248,0,5000,0,0,0,0,7544,83,0,0,5,0,864269,2576704,185577,33919,0,47,0
"15",15,2021-04-04,1064079,0,297354,59503,6813,0,8500,0,0,0,0,5714,180,0,0,0,0,363150,2216082,174562,38500,0,20,0
"16",16,2021-04-11,1208591,0,369905,63253,6572,0,45050,0,0,0,0,5714,426,0,0,0,0,77039,1886990,193576,38500,0,51,0
"17",17,2021-04-18,1274123,0,467444,76021,7609,0,45150,0,0,0,0,5714,213,0,0,0,0,312027,774347,215519,38500,0,0,0
"18",18,2021-04-25,1134186,0,418216,77313,6357,0,30250,0,0,0,0,6950,255,0,0,0,0,470526,1599873,217632,39484,0,0,0
"19",19,2021-05-02,924776,0,364715,74904,6210,0,6500,0,0,0,0,14369,231,0,0,0,0,641150,1738392,189423,45387,0,0,0
"20",20,2021-05-09,789388,0,308135,60084,5676,0,26250,0,0,0,0,14369,439,0,0,0,0,424794,805564,174451,45387,0,0,0
"21",21,2021-05-16,1299536,0,402012,73880,5159,0,27000,0,0,0,0,14369,703,0,0,0,0,767680,2201012,215013,45387,130,0,0
"22",22,2021-05-23,1497164,0,415696,85284,6132,0,74150,0,0,0,0,14369,608,0,0,2,0,692104,3026387,240781,45387,140,0,0
"23",23,2021-05-30,1505956,0,407759,82561,6002,0,31167,0,0,0,0,9514,792,0,0,3,0,1309884,2848340,281414,53968,91,0,0
"24",24,2021-06-06,1603841,0,487407,96988,6856,0,57250,0,0,0,0,7572,818,0,0,0,0,278283,876741,291733,57400,42,0,0
"25",25,2021-06-13,1623905,0,491184,108230,6100,0,27750,0,0,0,0,7572,1155,0,0,0,0,317514,1772638,329902,57400,78,0,0
"26",26,2021-06-20,1221798,0,427505,91770,4374,0,39085,0,0,0,0,7572,569,0,0,0,0,168645,1619359,237394,57400,63,0,0
"27",27,2021-06-27,1338949,0,417287,72578,5709,0,35000,0,0,0,0,6728,627,0,0,0,0,506748,2963648,225983,52252,15,0,0
