"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","email_campaign_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"1",2022-01-02,654913,0,-182945.395612814,0,0,0,0,0,35490.8503813402,177936.747240734,138325.289040511,18755.6271455781,60125.889886594,58380.8330587021,0,0,23373.7284903115,0,108691.28945876,126888.302694208,204965.337825854,769988.499609779,"1_96_14",3,TRUE
"2",2022-01-09,1098519,0,-111965.888416917,0,75411.5115579423,0,0,0,70981.7007626804,160637.349747958,109793.050824467,15586.0966999328,60179.9320247737,43489.403560974,858.032983242189,0,10412.1114894018,0,85221.5541090006,101499.09841259,204965.337825854,827069.291581901,"1_96_14",3,TRUE
"3",2022-01-16,963182,0,-89917.2955442783,92274.2644409767,65553.7976287995,0,0,0,177454.251906701,219293.478336974,118691.281553999,15175.8285207785,64308.5137357081,42229.360840301,9650.6640458602,0,251.339600601351,0,89280.209496925,93690.4301297308,204965.337825854,1102901.46251893,"1_96_14",3,TRUE
"4",2022-01-23,557152,0,-126023.137457838,0,41402.3985023997,0,0,0,0,206782.351860391,122922.050259889,16209.6566093845,67889.8828735292,37327.9505813152,3.88725118515041,0,0.0202190371684772,0,96713.1180392231,93362.2329379068,204965.337825854,761555.749502277,"1_96_14",3,TRUE
"5",2022-01-30,594670,0,-173047.481694381,0,17250.9993759999,0,0,0,0,172352.079464417,116693.08238728,16725.8874709195,69937.7295593039,26561.5661413507,858.03298324567,40830.0823564611,7.29286732139625e-10,7226.82340110743,129678.024588931,91286.2167455943,204965.337825854,721318.380606085,"1_96_14",3,TRUE
"6",2022-02-06,893466,0,-193529.015434496,0,492.885696457139,-10222.9100258274,0,0,0,183618.773577535,122259.892085537,16373.0654611035,69387.0323645363,37316.9910267857,9650.6640458602,80736.7051623917,1.52327942890662e-21,21956.5114725411,125172.689853566,87356.0502593733,204965.337825854,755534.673371218,"1_96_14",3,TRUE
"7",2022-02-13,836533,0,-186743.660915773,0,0,-11009.2877201218,0,0,17745.4251906701,233911.53896845,130039.97096833,16571.8031358103,67305.1244298859,52115.6657902722,5679.10723778498,89171.5027732127,2.20948618379783e-38,24637.8515623748,87896.9924049784,85272.5395993016,204965.337825854,817559.911251031,"1_96_14",3,TRUE
"8",2022-02-20,726653,0,-165383.147420749,-12335.7812436551,0,-7156.03701807915,0,0,0,234471.932077823,127724.75305667,17242.1177171026,69088.181422844,48960.4038719625,17332.1935113303,96111.3219257835,2.49576231651011e-61,24662.5332590231,77834.7869598695,84907.4931644943,204965.337825854,818426.089110274,"1_96_14",3,TRUE
"9",2022-02-27,884322,0,-131559.634321317,0,0,-3302.78631603653,0,0,0,234343.717286013,113645.148586111,18472.7583010127,72711.8430416708,51897.4474385322,15595.0559282561,99854.0247159803,2.33848001618793e-91,23550.1880444313,75084.9605545292,92015.753204813,204965.337825854,867273.81428985,"1_96_14",3,TRUE
"10",2022-03-06,854156,0,-85174.2665752646,0,0,-235.913308288323,0,-32490.8737309977,0,250745.361342196,111762.509208212,20287.1405757169,73915.9884648275,43610.3519450169,17.2519570076017,101079.95018783,1.85623589198239e-129,12277.9645496763,79760.0817075687,103995.385762481,204965.337825854,884516.269911837,"1_96_14",3,TRUE
"11",2022-03-13,1041636,0,-41940.810537998,0,64075.1405394281,0,0,0,0,244247.830498572,133274.639631338,21638.4988858262,76541.1668539188,70788.7521075914,6.93981291656215e-17,101550.267321472,1.22977642738678e-176,377.011404837388,84358.8605640886,109616.481293445,204965.337825854,1069493.17638837,"1_96_14",3,TRUE
