"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_thetas","cj_cost_alphas","cj_cost_gammas","cj_cost_thetas","dm_cost_alphas","dm_cost_gammas","dm_cost_thetas","email_campaign_delivery_alphas","email_campaign_delivery_gammas","email_campaign_delivery_thetas","email_flow_delivery_alphas","email_flow_delivery_gammas","email_flow_delivery_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","fig_cost_alphas","fig_cost_gammas","fig_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","linkby_cost_alphas","linkby_cost_gammas","linkby_cost_thetas","mntn_cost_alphas","mntn_cost_gammas","mntn_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","sms_cost_alphas","sms_cost_gammas","sms_cost_thetas","sms_sends_alphas","sms_sends_gammas","sms_sends_thetas","tatari_cost_alphas","tatari_cost_gammas","tatari_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","tiktok_influencer_cost_alphas","tiktok_influencer_cost_gammas","tiktok_influencer_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.90031,0.8967892,0.0586995,2.8567175,0.7250043,0.2399292,1.0337375,0.7971624,0.1937263,2.581605,0.9790294,0.1043076,0.603208,0.7627329,0.0720351,0.6124585,0.34412849,0.1070976,0.8297225,0.35619138,0.2210898,1.39086,0.4757546,0.1082148,2.0529225,0.44581,0.2136111,1.42873,0.5967706,0.1026894,1.9754075,0.592089,0.4857235,0.913505,0.3940044,0.1538352,1.6567275,0.8011804,0.2619279,2.236595,0.7728899,0.0695871,1.809915,0.8275683,0.526667,2.5319225,0.5074065,0.2688036,1.84394,0.392946,0.1388931,0.7863125,0.856497642669302,0.914765241497427,0.329828789781796,0.0493227972205763,0.274536851578906,0.651960077265501,0.274536851578906,0.0260096110111064,0,373170.050613148,0.0101334,36469502.4741323,1e-04,0,0.0762889385223389,105.722033977509,"1_73_7",1,73,7,1375,TRUE,TRUE,4,0.0563191671367987,2,FALSE
"2",2.90031,0.8967892,0.0586995,2.8567175,0.7250043,0.2399292,1.0337375,0.7971624,0.1937263,2.581605,0.9790294,0.1043076,0.603208,0.7627329,0.087699,0.58570875,0.35545806,0.0931047,0.51141565,0.3858445,0.1906554,1.2853475,0.5888473,0.1035459,1.7603925,0.4632442,0.1717449,1.6557125,0.741574,0.01423371,2.195955,0.5100294,0.4079635,0.881955,0.5585786,0.1517031,1.63349,0.7841116,0.2128524,2.84341,0.6313408,0.0626679,1.809915,0.8275683,0.526667,2.5319225,0.5074065,0.2688036,1.84394,0.392946,0.1388931,0.7863125,0.855816849636831,0.915695816073394,0.309052080050646,0.0494396555294533,0.27303407171481,0.661989004369879,0.27303407171481,0.0258983455265387,0,373170.050613148,0.0101334,36469502.4741323,1e-04,0,0.0750329494476318,112.512058019638,"1_78_2",1,78,2,1465,TRUE,TRUE,3,0.0582465417131558,2,FALSE
"3",2.739305,0.8601253,0.1029327,2.6209375,0.7902947,0.2430582,1.1691825,0.8043927,0.1839628,2.5526975,0.9796272,0.1035138,0.712584,0.667003,0.1322931,0.6622975,0.3865655,0.0667416,1.11884,0.4561371,0.1767351,1.008975,0.6964737,0.129615,1.2110375,0.444788,0.1006413,1.510305,0.7689888,0.0930441,2.0142625,0.853973,0.577763,0.7223435,0.7006191,0.1331562,1.58397,0.7795854,0.0577068,1.986625,0.9294442,0.01755024,1.1210025,0.8320784,0.5129845,0.9320425,0.5476838,0.250317,1.6276675,0.4048173,0.1339563,0.7844081,0.869480875804844,0.93805495001927,0.432332026909749,0.0470386941127615,0.234042961659178,0.600033247911132,0.234042961659178,0.0501905104668943,0,236044.576818242,0.00637302,36469502.4741323,1e-04,0,0.0639598369598389,116.387233018875,"1_80_14",1,80,14,1515,TRUE,TRUE,3,0.0472273466002699,12,FALSE
"4",2.88592,0.967716,0.0586995,2.8567175,0.7250043,0.2399292,1.0337375,0.7971624,0.1937263,2.581605,0.9790294,0.1043076,0.603208,0.7627329,0.087699,0.58570875,0.35545806,0.0931047,0.51141565,0.3858445,0.1906554,1.2853475,0.5888473,0.1035459,1.7603925,0.4632442,0.1717449,1.6557125,0.6072167,0.047349,2.19853,0.5573837,0.394011,0.91534,0.4064658,0.1740237,1.7783775,0.8507012,0.2420457,2.9461775,0.6214071,0.0764886,2.1955075,0.8870249,0.4198855,2.6080475,0.35471235,0.2742252,2.6556875,0.386275,0.1629732,0.7895963,0.851329816026882,0.913542164118671,0.347780968445906,0.0502030520293694,0.276499570868152,0.643168628073166,0.276499570868152,0.0241915407004301,0,401062.783503368,0.0108983,36469502.4741323,1e-04,0,0.0631811618804932,117.14216709137,"1_81_5",1,81,5,1525,TRUE,TRUE,1,0.0546207081322615,2,FALSE
"5",2.88592,0.967716,0.0586995,2.8567175,0.7250043,0.2399292,1.0337375,0.7971624,0.1937263,2.581605,0.9790294,0.1043076,0.603208,0.7627329,0.087699,0.58570875,0.35545806,0.0931047,0.51141565,0.3858445,0.1906554,1.2853475,0.5888473,0.1035459,1.7603925,0.4632442,0.1717449,1.6557125,0.6072167,0.047349,2.19853,0.5573837,0.394011,0.91534,0.4064658,0.1740237,1.7783775,0.8507012,0.2420457,2.9461775,0.6214071,0.0764886,2.1955075,0.8331718,0.5321455,2.8265175,0.372226,0.2984052,2.6556875,0.386275,0.1629732,0.7895963,0.851722193510194,0.912903579784882,0.328632927928949,0.0501367591076792,0.277518815996083,0.652541500846452,0.277518815996083,0.0252463045224907,0,401062.783503368,0.0108983,36469502.4741323,1e-04,0,0.0700459480285645,119.343758106232,"1_82_16",1,82,16,1555,TRUE,TRUE,2,0.056426745482957,2,FALSE
"6",2.73886,0.8597627,0.09615,2.0747425,0.7292232,0.2370561,1.145515,0.8661082,0.1990591,2.571395,0.9790035,0.1025253,0.7731075,0.756127,0.1495749,0.60173825,0.4111845,0.02509959,0.77954,0.4959202,0.1511214,0.7807725,0.8890976,0.1276773,0.8619525,0.4592556,0.02507382,1.907965,0.7195436,0.0776685,2.26788,0.7044985,0.494336,0.8015825,0.6719688,0.1388382,1.4277,0.7680816,0.0728262,2.5757175,0.8376056,0.02432766,1.0563675,0.7733946,0.6200175,1.05595,0.6100685,0.2684145,1.66703,0.4059254,0.1394658,0.7849235,0.87139647543912,0.9389135182362,0.332742522437888,0.0466922300384777,0.232415366014037,0.650541255758765,0.232415366014037,0.0580755353935962,0,234761.708020912,0.00633784,36469502.4741323,1e-04,0,0.0684750080108643,126.677412033081,"1_87_19",1,87,19,1653,TRUE,TRUE,3,0.0572741737015939,12,FALSE
"7",2.838985,0.9657357,0.01649574,2.7882225,0.8802531,0.2862267,1.49959,0.8641902,0.2208241,2.6049425,0.9779262,0.1028154,0.62716075,0.7690854,0.09234,0.61975225,0.36128465,0.0950916,0.7688475,0.3927164,0.198303,1.356005,0.5627758,0.1070901,1.90739,0.4535478,0.1830489,1.540215,0.5793679,0.0985638,1.9808375,0.5680811,0.4579555,0.935255,0.3782257,0.1616061,1.116015,0.8418707,0.0848475,2.5987375,0.7521846,0.01907925,1.0867625,0.7239361,0.517371,1.2073425,0.5231327,0.2874108,1.02135,0.36441463,0.1273932,0.7889378,0.854902841212986,0.919850250162563,0.441133977352344,0.0495961123451304,0.266221647625915,0.595363179921638,0.266221647625915,0.02645257802111,0,373115.351829863,0.0101319,36469502.4741323,1e-04,0,0.0671889781951904,126.785711050034,"1_88_1",1,88,1,1654,TRUE,TRUE,4,0.0454427525003706,2,TRUE
"8",2.963015,0.9416522,0.000898074,2.89244,0.9077526,0.2468202,0.9727825,0.8481203,0.2052292,2.5914225,0.9789083,0.1029906,0.5146653,0.8742072,0.0730872,0.525675,0.35778528,0.0789546,0.9452275,0.3819833,0.172335,1.3062175,0.6567102,0.0872715,1.7011525,0.4942955,0.143772,1.87065,0.5935891,0.02560914,2.461375,0.30850031,0.30459028,1.10563,0.300753914,0.1604148,1.41989,0.770645,0.2866488,2.5254775,0.5450945,0.0895854,1.940555,0.7467596,0.709145,2.72745,0.576577,0.2894082,2.07836,0.3700364,0.1449042,0.7860902,0.846036524413144,0.910170464677266,0.324111423404274,0.0510889567144168,0.281839498827777,0.65473517286597,0.281839498827777,0.022887550682646,0,425447.50109219,0.011567,36469502.4741323,1e-04,0,0.0716578960418701,128.053694009781,"1_88_18",1,88,18,1671,TRUE,TRUE,1,0.056842960881216,2,FALSE
"9",2.9311525,0.9573252,0.0472467,1.5641675,0.541528,0.2205603,1.0806725,0.8848885,0.1783816,2.6892225,0.9769343,0.1009566,0.640336,0.7631949,0.0745467,0.6652425,0.36075944,0.0744624,0.73964875,0.4082879,0.1364304,1.0831525,0.7163663,0.1152258,1.265785,0.4602832,0.0965988,1.819905,0.5968084,0.1037076,1.968315,0.6407439,0.4788285,1.35455,0.5327052,0.1180461,1.6097075,0.733083,0.1436487,2.8600575,0.7445595,0.0180714,0.8149275,0.7993268,0.50675,1.45844,0.4223145,0.2910264,2.50279,0.38946,0.1513239,0.7886936,0.871756766924173,0.939739526402808,0.364385315286608,0.0466267784419733,0.230838663725538,0.634928877843162,0.230838663725538,0.064841626215516,0,233825.264851058,0.00631216,36469502.4741323,1e-04,0,0.0637800693511963,128.823290109634,"1_89_9",1,89,9,1681,TRUE,TRUE,4,0.0548818735817711,9,FALSE
"10",2.838985,0.9657357,0.01649574,2.7882225,0.9971433,0.2974044,1.5467725,0.8641902,0.2208241,2.6049425,0.9779262,0.1028154,0.62716075,0.7690854,0.09234,0.61975225,0.36128465,0.0950916,0.7688475,0.3927164,0.198303,1.356005,0.5627758,0.1070901,1.90739,0.4535478,0.1830489,1.540215,0.5793679,0.0985638,1.9808375,0.5680811,0.4579555,0.935255,0.3782257,0.1616061,1.116015,0.8418707,0.0848475,2.5987375,0.7521846,0.01907925,1.0867625,0.7239361,0.517371,1.2073425,0.5231327,0.2874108,1.02135,0.36441463,0.1273932,0.7889378,0.854950094518136,0.920307550289015,0.439730927646151,0.0495880357877117,0.265461087897635,0.59611004990605,0.265461087897635,0.0261984998631988,0,373115.351829863,0.0101319,36469502.4741323,1e-04,0,0.0641012191772461,129.041113138199,"1_89_12",1,89,12,1684,TRUE,TRUE,3,0.0455841405022189,2,FALSE
