"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"2","trend",0.146920396000052,19529836.4264313,0.151119856029459,22167.8052513409,0.088581110772936,19529836.4264313,0.151119856029459,22167.8052513409,0.088581110772936,TRUE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"3","season",0.199172799643974,-696460.173222187,-0.00538913684730852,-790.533681296467,-0.00315892127338242,-696460.173222187,-0.00538913684730852,-790.533681296467,-0.00315892127338242,FALSE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"4","weekday",0.384440663301741,1428.13866882023,1.1050789433655e-05,1.62104275689016,6.47758162739486e-06,1428.13866882023,1.1050789433655e-05,1.62104275689016,6.47758162739486e-06,TRUE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"5","holiday",0.458493794548066,350255.331980532,0.00271023956303153,12077.7700682942,0.0482619851708101,350255.331980532,0.00271023956303153,12077.7700682942,0.0482619851708101,TRUE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"6","print_launch",-28.1462763819588,-170256.825834469,-0.00131742972374905,0,0,-170256.825834469,-0.00131742972374905,0,0,FALSE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"7","product_launch",123.01189629153,410736.721717419,0.00317823830659142,1755.28513554453,0.00701400545822427,410736.721717419,0.00317823830659142,1755.28513554453,0.00701400545822427,TRUE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"8","solidcolor_launch",-223.070306487396,-543399.266603296,-0.00420476736940133,0,0,-543399.266603296,-0.00420476736940133,0,0,FALSE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"9","mb_status",51044.2420035472,867752.114060302,0.00671457618398568,51044.2420035472,0.203969477536044,867752.114060302,0.00671457618398568,51044.2420035472,0.203969477536044,TRUE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"10","sale_status",30736.5372396682,5893731.01570638,0.0456050815338373,44649.477391715,0.178416413259944,5893731.01570638,0.0456050815338373,44649.477391715,0.178416413259944,TRUE,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,"1_91_1",1,91,1,1711,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
