"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_thetas","email_sms_campaign_alphas","email_sms_campaign_gammas","email_sms_campaign_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","other_cost_alphas","other_cost_gammas","other_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.8354525,0.9690768,0.1706871,2.6013975,0.7958786,0.1791813,0.71367775,0.503966,0.1175034,1.76893,0.6251703,0.00590709,0.67690575,0.9031991,0.2142813,0.579386,0.4256836,0.032997,1.0881275,0.4339422,0.5584065,0.94021,0.95093,0.0980514,0.7867985,0.634973474374863,0.764355758755338,0.556067955238329,0.0429511093351823,0.663682695771341,1.13754396956534,0.663682695771341,0.0251202259044744,0,140151.461666809,0.0205485,6788164.2892316,1e-04,0,0.065424919128418,120.895593881607,"1_91_1",1,91,1,1711,TRUE,TRUE,2,0.0575809524264998,3,FALSE
"2",2.8354525,0.9690768,0.1706871,2.6013975,0.7958786,0.1791813,0.71367775,0.503966,0.1175034,1.76893,0.6251703,0.0038859,0.67856175,0.8705294,0.2138661,0.56280425,0.4573999,0.0261888,1.0881275,0.4339422,0.5584065,0.94021,0.95093,0.0980514,0.7867985,0.635099961799131,0.764475062029866,0.556187283215415,0.042943667073422,0.663514668021471,1.13739107460622,0.663514668021471,0.0252112052107385,0,140151.461666809,0.0205485,6788164.2892316,1e-04,0,0.0621640682220459,122.971004009247,"1_92_12",1,92,12,1741,TRUE,TRUE,2,0.057556453490681,3,FALSE
"3",2.8354525,0.9690768,0.2001795,2.46044,0.8363946,0.1738488,0.663987,0.5517452,0.1021938,1.7258425,0.6540285,0.01574043,0.67467025,0.9034371,0.2147475,0.67228275,0.4718185,0.0261888,1.0881275,0.4339422,0.5584065,0.94021,0.95093,0.0980514,0.7867985,0.636028561310744,0.759698343638971,0.559064832229378,0.0428889906325843,0.670209317376621,1.1336978264931,0.670209317376621,0.0225964541275845,0,140151.461666809,0.0205485,6788164.2892316,1e-04,0,0.0614490509033203,127.149324893951,"1_95_15",1,95,15,1801,TRUE,TRUE,2,0.0569083394907477,3,FALSE
"4",2.85805,0.9609099,0.2070645,2.35368,0.8422095,0.167829,0.602881,0.6072139,0.0825237,1.64075,0.6736635,0.0420237,0.532295,0.9476288,0.2159838,0.56608975,0.36704208,0.04659,1.0632525,0.4644986,0.575852,0.9853725,0.9528375,0.0991749,0.7874786,0.633766969737015,0.755902719143437,0.569611421467146,0.043022032897541,0.675481641051872,1.12005748768908,0.675481641051872,0.0245615944943039,0,142510.791617155,0.0208961,6788164.2892316,1e-04,0,0.0622849464416504,128.137329816818,"1_96_10",1,96,10,1815,TRUE,TRUE,4,0.0546384468981234,2,FALSE
"5",2.8381175,0.9678098,0.1830396,2.575655,0.8865258,0.1705299,0.695629,0.5216851,0.108837,1.7604875,0.6258297,0.01715697,0.65783775,0.8818771,0.2145441,0.5810825,0.4418606,0.0307839,1.07093,0.4297835,0.568181,0.9184575,0.9564026,0.1025139,0.7845779,0.627875479129004,0.773065679816737,0.569355859645291,0.043098923922077,0.670321341208779,1.1236734579556,0.670321341208779,0.0239482692407065,0,150211.872634597,0.0220307,6788164.2892316,1e-04,0,0.0645232200622559,128.616778850555,"1_96_17",1,96,17,1822,TRUE,TRUE,3,0.0552382894264931,3,FALSE
"6",2.8354525,0.9690768,0.2001795,2.46044,0.8363946,0.1738488,0.663987,0.5517452,0.1021938,1.7258425,0.6540285,0.01574043,0.67467025,0.9034371,0.2147475,0.67228275,0.4148833,0.0261888,1.0881275,0.4339422,0.5584065,0.94021,0.95093,0.0980514,0.7867985,0.636041316305697,0.759718731381114,0.559162613326428,0.0428882391262934,0.670180885727863,1.13357211598995,0.670180885727863,0.0225975565650331,0,140151.461666809,0.0205485,6788164.2892316,1e-04,0,0.0617160797119141,131.361732006073,"1_98_18",1,98,18,1861,TRUE,TRUE,2,0.0568872365101001,3,FALSE
"7",2.9025975,0.9709997,0.2732424,2.617035,0.964972,0.1641804,0.55833475,0.6693697,0.0580737,1.50459,0.6050061,0.1198134,0.5242532,0.9160679,0.2188494,0.7552025,0.3774648,0.0535083,1.02083,0.4172605,0.60142,0.8169625,0.9959631,0.1436604,0.7864454,0.582524383917006,0.722269553712426,0.603336645269815,0.0459333087022384,0.721508024435794,1.07112679238704,0.721508024435794,0.0195713200695233,0,215892.333309267,0.0317074,6788164.2892316,1e-04,0,0.0618460178375244,132.550848960876,"1_99_16",1,99,16,1878,FALSE,TRUE,4,0.0463790740664795,3,TRUE
"8",2.8105925,0.9644267,0.183213,2.3190775,0.7699457,0.1749828,0.70146425,0.4888481,0.1155885,1.7768025,0.6727668,0.02487627,0.67765825,0.9442933,0.2147043,0.72940625,0.444361,0.02590575,1.08445,0.4327249,0.559985,0.9447325,0.951476,0.0976113,0.7862588,0.638152994030136,0.758840530344838,0.53627515785084,0.0426004260377025,0.683827696967142,1.1626038526853,0.683827696967142,0.0219268448524852,0,143070.080420114,0.0209785,6788164.2892316,1e-04,0,0.0709190368652344,133.203394889832,"1_100_6",1,100,6,1887,TRUE,TRUE,4,0.0617582004847263,3,FALSE
"9",2.81231,0.9765542,0.1653852,2.789735,0.8139001,0.1678146,0.602151,0.656643,0.0760008,1.6436075,0.5945299,0.1099326,0.511925925,0.8886685,0.2167932,0.56071225,0.4104803,0.0584244,1.1193125,0.4488158,0.5385535,0.9684875,0.9360557,0.0800805,0.7838918,0.638700066274284,0.779082411063281,0.552827946473063,0.0423039079317696,0.672297002726874,1.14501126974578,0.672297002726874,0.0211868154458309,0,119700.767937254,0.0175355,6788164.2892316,1e-04,0,0.0670390129089355,134.814848899841,"1_101_10",1,101,10,1910,TRUE,TRUE,2,0.0587984904438658,2,FALSE
"10",2.83945,0.9516923,0.2296986,2.56895,0.9463268,0.1697235,0.59823125,0.633536,0.0716868,1.568515,0.6010672,0.0892131,0.52992,0.8890717,0.2185029,0.63741025,0.4056377,0.0521385,0.885,0.4206744,0.607552,0.8309175,0.9697404,0.1084992,0.7772075,0.612837017711365,0.753741283658932,0.596469954247379,0.0439362643946767,0.709811885988233,1.09684557539732,0.709811885988233,0.0211243215941477,0,173951.103075724,0.0255282,6788164.2892316,1e-04,0,0.0607750415802002,134.880000829697,"1_101_11",1,101,11,1911,TRUE,TRUE,4,0.0507075976051313,3,FALSE
